objectid,incident_number,call_type,call_type_group,call_time,street,mental_health,drug_related,dv_related,alcohol_related,areaname,latitude,longitude,district,priority
291255,26,Vandalism,Property,2021/01/01 12:47:10+00,N Champlain St,1,0,0,0,OldNorthEnd,44.48238792,-73.21732054,Central,3
291276,47,Disorderly Conduct,Quality of Life,2021/01/01 22:11:12+00,N Champlain St,0,0,0,0,OldNorthEnd,44.4820436,-73.21734932,Central,2
291287,58,Disorderly Conduct,Quality of Life,2021/01/02 08:27:39+00,N Champlain St,0,0,0,0,OldNorthEnd,44.48217223,-73.21738904,Central,2
291356,127,Trespass,Other,2021/01/04 02:47:00+00,Colchester Ave,0,0,0,0,UniversityHillSection,44.47965946,-73.19412134,East,2
291363,134,Larceny - from Motor Vehicle,Property,2021/01/04 09:21:36+00,Pearl St,0,0,0,0,UniversityHillSection,44.48043703,-73.20639555,East,3
291377,148,Trespass,Other,2021/01/04 15:03:18+00,Colchester Ave,0,0,0,0,UniversityHillSection,44.47965204,-73.19413908,East,2
291384,155,Trespass,Other,2021/01/04 18:31:18+00,Colchester Ave,1,0,0,0,UniversityHillSection,44.47967604,-73.19411144,East,2
291388,159,Larceny - from Motor Vehicle,Property,2021/01/04 21:15:31+00,Cherry St,0,0,0,0,Downtown,44.47956665,-73.21168442,Central,3
291407,178,Larceny - from Motor Vehicle,Property,2021/01/05 14:11:15+00,Cherry St,0,0,0,0,Downtown,44.47958605,-73.21168665,Central,3
291436,207,Assault - Simple,Assault,2021/01/06 01:39:45+00,St Paul St,0,1,0,0,SouthEnd,44.4727056,-73.21317085,South,1
291450,221,Trespass,Other,2021/01/06 12:45:02+00,Battery St,0,0,0,0,Downtown,44.47790192,-73.21806633,Central,2
291461,232,Assault - Aggravated,Assault,2021/01/06 16:37:00+00,Cherry St/St Paul St,0,0,0,0,Downtown,44.47924812,-73.21428808,Central,1
291485,256,Retail Theft,Property,2021/01/07 11:16:19+00,Shelburne Rd,0,0,0,0,SouthEnd,44.44824886,-73.2097475,South,3
291503,274,Assault - Aggravated,Assault,2021/01/07 16:07:00+00,Allen St,0,0,0,0,OldNorthEnd,44.4832714,-73.21459756,Central,1
291506,277,Larceny - Other,Property,2021/01/07 16:57:14+00,S Winooski Ave,0,0,0,0,Downtown,44.47798562,-73.21127244,Central,3
291539,310,Trespass,Other,2021/01/08 16:42:28+00,North Ave,0,0,0,0,NewNorthEnd,44.50652517,-73.24561418,North,2
291545,316,Trespass,Other,2021/01/08 18:54:04+00,S Winooski Ave,0,1,0,0,Downtown,44.47811164,-73.2105592,East,2
291618,389,Burglary,Property,2021/01/10 17:40:00+00,North Ave,0,0,0,0,NewNorthEnd,44.51354593,-73.2534074,North,2
291626,397,Violation of Conditions of Release,Court Order,2021/01/10 23:18:45+00,Sears Ln,0,0,0,0,SouthEnd,44.45846559,-73.21673112,South,2
291656,427,Trespass,Other,2021/01/11 16:21:08+00,Colchester Ave,1,0,0,0,UniversityHillSection,44.47964807,-73.1941015,East,2
291688,459,Crash - LSA,Motor Vehicle,2021/01/12 12:13:47+00,Howard St,0,0,0,0,SouthEnd,44.46752136,-73.20770632,South,2
291727,498,Vandalism - graffiti,Property,2021/01/13 00:06:02+00,Main St,0,0,0,0,Downtown,44.47642732,-73.21014257,East,3
291783,554,Larceny - from Building,Property,2021/01/14 13:08:36+00,Cherry St,1,0,0,0,Downtown,44.4794132,-73.21544781,Central,3
291816,587,Assault - Aggravated,Assault,2021/01/15 00:44:25+00,Colchester Ave,0,1,0,0,UniversityHillSection,44.47967689,-73.19411499,East,1
291818,589,Burglary,Property,2021/01/15 02:00:05+00,Pine St,0,0,0,0,Downtown,44.47428607,-73.21567026,South,2
291898,669,Assault - Simple,Assault,2021/01/17 13:11:12+00,Colchester Ave,1,0,0,0,UniversityHillSection,44.47964878,-73.19413073,East,1
291901,672,Retail Theft,Property,2021/01/17 14:29:00+00,Cherry St,0,0,0,0,Downtown,44.47955062,-73.21168722,Central,3
291975,746,Larceny - from Building,Property,2021/01/19 15:15:58+00,North Ave,0,0,0,0,NewNorthEnd,44.50650632,-73.24560174,North,3
292032,803,Fraud,Financial Crime,2021/01/21 08:50:01+00,Park St,0,0,0,0,OldNorthEnd,44.48191301,-73.21899308,Central,3
292042,813,Trespass,Other,2021/01/21 11:08:08+00,Shelburne Rd,1,0,0,0,SouthEnd,44.45671198,-73.20810067,South,2
292088,859,Retail Theft,Property,2021/01/22 09:58:47+00,Church St,0,0,0,0,Downtown,44.47859602,-73.21246626,Central,3
292163,934,Trespass,Other,2021/01/24 10:11:51+00,Shelburne Road,0,0,0,0,SouthEnd,44.44940026,-73.21097122,South,2
292215,1002,Violation of Conditions of Release,Court Order,2021/01/25 19:00:43+00,Church St,0,0,0,1,Downtown,44.47952509,-73.21288697,Central,2
292257,1044,Trespass,Other,2021/01/26 18:33:38+00,Cherry St,0,0,0,1,Downtown,44.47957365,-73.21166514,Central,2
292276,1063,Vandalism,Property,2021/01/27 10:48:10+00,Shelburne Rd/S Union St,1,0,0,0,SouthEnd,44.4648357,-73.20769477,South,3
292442,1230,Trespass,Other,2021/01/31 08:15:00+00,Colchester Ave,1,0,0,0,UniversityHillSection,44.47966509,-73.19411185,East,2
292464,1252,Trespass,Other,2021/01/31 19:42:47+00,Colchester Ave,1,1,0,0,UniversityHillSection,44.47965432,-73.19412834,East,2
292593,1381,DLS,Motor Vehicle,2021/02/04 02:56:52+00,Maple St/Pine St,0,0,0,0,Downtown,44.47360252,-73.21540181,South,3
292640,1428,DLS,Motor Vehicle,2021/02/04 16:11:26+00,Pearl St,0,0,0,0,OldNorthEnd,44.48052443,-73.2159418,Central,3
292697,1485,Violation of Conditions of Release,Court Order,2021/02/05 16:57:22+00,Colchester Ave,1,0,0,0,UniversityHillSection,44.47967361,-73.19411056,East,2
292754,1542,DUI,Motor Vehicle,2021/02/06 23:32:41+00,Shelburne Rd / Birchcliff Pkwy,0,0,0,1,SouthEnd,44.45856076,-73.20828552,South,1
292774,1562,Trespass,Other,2021/02/07 14:16:28+00,Shelburne St,0,0,0,1,SouthEnd,44.4566954,-73.2080213,South,2
292913,1701,Assault - Simple,Assault,2021/02/10 08:49:39+00,Church St / Cherry St,0,0,0,0,Downtown,44.47929756,-73.21273857,Central,1
292934,1722,Theft of Service,Property,2021/02/10 14:24:15+00,Church St,0,0,0,0,Downtown,44.47722165,-73.21277524,Central,3
292935,1723,Assault - Simple,Assault,2021/02/10 14:25:07+00,Colchester Ave,1,0,0,0,UniversityHillSection,44.47966393,-73.19412437,East,1
292981,1769,DUI,Motor Vehicle,2021/02/11 18:00:17+00,Main St,0,0,0,1,Downtown,44.47618065,-73.21170611,Central,1
293122,1910,Violation of Conditions of Release,Court Order,2021/02/15 18:48:32+00,Cherry St,0,0,0,1,Downtown,44.47977917,-73.21408517,Central,2
